id,question,fullQuestion,principle,topic,situation,task,action,result
1,Didn't have enough data to make the right decision.,Tell me about a time when you didn't have enough data to make the right decision. What did you do? What path did you take? Did the decision turn out to be the correct one?,"Are Right, A Lot",,,,,
2,Made a strategic decision without clear data or benchmarks.,Tell me about a strategic decision you had to make without clear data or benchmarks. How did you make your final decision? What alternatives did you consider? What were the tradeoffs of each? How did you mitigate risk?,"Are Right, A Lot",,,,,
3,Made a difficult decision with input from many sources.,"Tell me about a time when you made a difficult decision with input from many different sources (customers, stakeholders, partner teams, and so on). What was the situation and how did you arrive at your decision? Did the decision turn out to be the correct one? Why or why not?","Are Right, A Lot",,,,,
4,Made a bad decision and its impact.,We don't always make the right decision all the time. Tell me about a time when you made a bad decision. What was the impact of that decision? What did you learn? How have you applied what you learned?,"Are Right, A Lot",,,,,
5,Made an error in judgment and its impact.,We don't always make the right judgment all the time. Tell me about a time when you made an error in judgment. What was the impact? What did you learn? How have you applied what you learned?,"Are Right, A Lot",,,,,
6,Discovered your idea wasn't the best course of action.,Tell me about a time when you discovered that your idea was not the best course of action. What was your idea? Why wasn't your idea the best course of action? How did you find out it was not the correct path? What was the best course of action? Who provided it? What did you learn from the experience?,"Are Right, A Lot",,,,,
7,Brought different perspectives together to solve a problem.,"Describe a time when you brought different perspectives together to solve a problem. What types of different perspectives were represented? How did you seek out different points of view? What was the outcome? Were there any key learnings from this experience? Knowing what you know now, would you have done anything different?","Are Right, A Lot",,,,,
8,Sought diverse perspectives and their impact on assumptions.,At Amazon we find that diverse and inclusive teams bring a wide variety of perspectives to solve a problem. Give me an example of a time when you sought diverse perspectives. Did those perspectives challenge any of your assumptions? (DEI),"Are Right, A Lot",,,,,
9,Took a calculated risk where speed was critical.,"Give me an example of a calculated risk that you have taken where speed was critical. What was the situation and how did you handle it? What steps did you take to mitigate the risk? What was the outcome? Knowing what you know now, would you have done anything differently?",Bias for Action,,,,,
10,Worked against tight deadlines without considering all options.,Tell me about a time when you worked against tight deadlines and didn't have time to consider all options before making a decision. How much time did you have? What approach did you take? What did you learn from the situation?,Bias for Action,,,,,
11,Made an important business decision without consulting your manager.,Describe a situation where you made an important business decision without consulting your manager. What was the situation and how did it turn out? Would you have done anything differently?,Bias for Action,,,,,
12,Gathered information and responded immediately to a situation.,Tell me about a time when you had to gather information and respond immediately to a situation. What was the outcome? Would you have done anything differently?,Bias for Action,,,,,
13,Decided between moving forward or gathering more information.,Give me an example of when you had to make an important decision and had to decide between moving forward or gathering more information. What did you do? What was the outcome? What information is necessary for you to have before acting?,Bias for Action,,,,,
14,Saw an issue impacting your team and took a proactive approach.,Tell me about a time when you saw an issue that would impact your team and took a proactive approach to solve it. What was the issue? What did you do and what was the outcome? What did you learn from this situation?,Bias for Action,,,,,
15,Made a decision quickly while gathering diverse team perspectives.,Tell me about a time when you had to make a decision quickly but needed to gather diverse perspectives from those on your team? (DEI),Bias for Action,,,,,
16,Felt your team was not moving to action quickly enough.,Tell me about a time when you felt your team was not moving to action quickly enough. What was the situation? What did you do? What was the outcome? Would you have done anything differently? (Manager),Bias for Action,,,,,
17,Removed a serious roadblock preventing team progress.,"Tell me about a time when you were able to remove a serious roadblock/barrier preventing your team from making progress. What was the barrier? How were you able to remove it? What was the outcome? Knowing what you know now, would you have done anything differently? (Manager)",Bias for Action,,,,,
18,Difficult interaction with a customer.,Describe a difficult interaction you had with a customer. How did you deal with it? What was the outcome? How would you handle it differently?,Customer Obsession,,,,,
19,Went above and beyond for a customer.,Tell me about a time when you went above and beyond for a customer. Why did you do it? How did the customer respond? What was the outcome?,Customer Obsession,,,,,
20,Anticipated a customer need with a solution they didn't know they needed.,Give me an example of when you were able to anticipate a customer need with a solution/product they didn't know they needed/wanted yet. How did you know they needed this? How did they respond?,Customer Obsession,,,,,
21,Asked for customer feedback and used it to drive improvement.,Give me an example of a time when you asked for customer feedback. How did you use that feedback to drive innovation or improvement? How did the customer respond?,Customer Obsession,,,,,
22,Evaluated the customer experience of your product or service.,Tell me about a time when you evaluated the customer experience of your product or service. What did you do? What was the result?,Customer Obsession,,,,,
23,Customer requested something that wouldn't address their need.,Tell me about a time when a customer came to you for something that wouldn't actually address their need. How did you approach the situation? What was the result?,Customer Obsession,,,,,
24,Pushed back or said no to an unreasonable customer request.,Sometimes customers make unreasonable requests. Tell me about a time when you've had to push back or say no to a customer request. What did you say or do in response to that request?,Customer Obsession,,,,,
25,Balanced the needs of the customer with the business.,Tell me about a time when you had to balance the needs of the customer with the needs of the business. What did you do? What was the result?,Customer Obsession,,,,,
26,Considered the unique backgrounds of a customer base you hadn't served.,Give me an example of a time when you had to think about the unique backgrounds of a customer base (either internal or external) that you hadn’t yet served. How did you know what products or services they needed? (DEI),Customer Obsession,,,,,
27,Change you implemented to meet the needs of your customers.,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers. What has been the result? (Manager),,,,,,
28,Delivered an important project under a tight deadline.,Give me an example of a time when you were able to deliver an important project under a tight deadline. What sacrifices did you have to make to meet the deadline? How did they impact the final deliverable? What was the final outcome?,Deliver Results,,,,,
29,"Overcame significant, unanticipated obstacles to achieve a key goal.","Tell me about a time when you had significant, unanticipated obstacles to overcome in achieving a key goal. What was the obstacle? Were you eventually successful? Knowing what you know now, is there anything you would have done differently?",Deliver Results,,,,,
30,Met and considerably exceeded a goal.,Tell me about a time when you not only met a goal but considerably exceeded expectations. How were you able to do it? What challenges did you have to overcome?,Deliver Results,,,,,
31,Realized a goal might not be the right one or had unintended consequences.,"Tell me about a time when you or your team were more than half way to meeting a goal when you realized it may not be the right goal or may have unintended consequences. What was the situation? What did you do? What was the outcome? Looking back, would you have done anything differently?",Deliver Results,,,,,
32,Worked toward a seemingly unachievable mission or goal.,"Give me an example of a mission or goal you didn’t think was achievable. What was it and how did you help your team try to achieve it? Were you successful in the end? Looking back, would you have done anything differently?",Deliver Results,,,,,
33,"Did not effectively manage a project, resulting in missed deadlines.",Tell me about a time when you did not effectively manage your projects and something did not get completed on time. What was the impact? What approaches do you use to make sure you are focusing on the right deliverables when you have several competing priorities?,Deliver Results,,,,,
34,Delivered quality service for customers with diverse needs.,How have you delivered quality service for customers with diverse needs? What obstacles did you encounter and how did you overcome them? How did you audit customer experience? (DEI),Deliver Results,,,,,
35,Set challenging yet achievable team goals.,"It can be difficult to set goals for a team that are challenging, yet achievable. Tell me about a time when you hit the right balance. How did you approach setting the goals? What was the outcome? (Manager)",Deliver Results,,,,,
36,Tried to understand a complex problem and dug into details to solve it.,Tell me about a time when you were trying to understand a complex problem on your team and you had to dig into the details to figure it out. Who did you talk with or where did you have to look to find the most valuable information? How did you use that information to help solve the problem?,Dive Deep,,,,,
37,Dug deep to get to the root cause of a situation.,Tell me about a situation that required you to dig deep to get to the root cause. How did you know you were focusing on the right things? What was the outcome? Would you have done anything differently?,Dive Deep,,,,,
38,Solved a problem requiring in-depth thought and analysis.,Tell me about a problem you had to solve that required in-depth thought and analysis. How did you know you were focusing on the right things? What was the outcome? Would you have done anything differently?,Dive Deep,,,,,
39,Helped solve a big organizational problem or issue.,"Walk me through a big problem or issue in your organization that you helped to solve. How did you become aware of it? What information did you gather? What information was missing and how did you fill the gaps? Did you do a reflection at the conclusion of the project? If so, what did you learn?",Dive Deep,,,,,
40,Used a specific metric to identify a need for change in your department.,Tell me about a specific metric you have used to identify a need for a change in your department. Did you create the metric or was it already available? How did this and other information influence the change? What was the outcome of this change?,Dive Deep,,,,,
41,Created a metric to identify a need for change in your department.,Have you ever created a metric that helped identify a need for a change in your department? What was the metric? Why did you create it? How did this and other information influence change? What was the outcome of the change?,Dive Deep,,,,,
42,Validated assumptions underlying a direct report's project. (Manager),"Tell me about a time when you had to validate the assumptions underlying a direct report's project. How did you decide follow up was necessary? What steps, if any, did you take to validate the assumptions? What was the result? (Manager)",Dive Deep,,,,,
43,Sought diverse perspectives to evaluate assumptions in a direct report's project. (Manager) (DEI),Tell me about a time when you sought diverse perspectives to evaluate the assumptions underlying a direct report's project. How did you ensure that you were being inclusive in your review? (Manager) (DEI),Dive Deep,,,,,
44,Communicated a change in direction and mitigated concerns.,Tell me about a time when you had to communicate a change in direction that you anticipated people would have concerns with. What did you do to understand the concerns and mitigate them? Were there any changes you made along the way after hearing these concerns? How did you handle questions and/or resistance? Were you able to get people comfortable with the change?,Earn Trust,,,,,
45,Received tough or critical feedback and responded to it.,Give me an example of a tough or critical piece of feedback you received. What was it and what did you do about it?,Earn Trust,,,,,
46,Influenced a peer with a differing opinion about a shared goal.,Describe a time when you needed to influence a peer who had a differing opinion about a shared goal. What did you do? What was the outcome?,Earn Trust,,,,,
47,Failed to meet a commitment and its impact.,Give me an example of a time when you were not able to meet a commitment. What was the commitment and what were the obstacles that prevented success? What was the impact to your customers/peers and what did you learn from it?,Earn Trust,,,,,
48,Team’s goals were out of alignment with another team’s goals.,Tell me about a time when your team’s goals were out of alignment with another team you relied on in order to meet your goal. How did you work with the other team? Were you able to achieve your goals?,Earn Trust,,,,,
49,Uncovered a significant problem in your team and addressed it.,Tell me about a time when you uncovered a significant problem in your team. What was it and how did you communicate it to your manager and other stakeholders? What did you do to address the problem? How did you manage the impact of this problem for the rest of your team?,Earn Trust,,,,,
50,Improved morale and productivity on your team.,Describe a time when you improved morale and productivity on your team. What were the underlying problems and their causes? How did you prevent them from negatively impacting the team in the future?,Earn Trust,,,,,
51,Helped a struggling team member and its impact.,Tell me about a time when a team member was struggling at work and you stepped in to help out. Why did you think they were struggling? Why did you decide to step in and support? What did you do to help out? How did it impact your work? What was the outcome? What did you learn from that situation?,Earn Trust,,,,,
52,Responded to someone being treated unfairly. (DEI),Tell me about a time when you experienced someone being treated unfairly. How did you respond? Would you have done anything differently? (DEI),Earn Trust,,,,,
53,Helped save costs or eliminate waste within your role or organization.,Give me an example of how you have helped save costs or eliminate waste within your role or organization. What was the situation? What was the impact?,Frugality,,,,,
54,Completed a project with limited resources and its impact.,"Describe a time when you had to get a project or initiative completed with limited resources. How did you approach the situation? What was the impact? Knowing what you know now, would you have done anything differently?",Frugality,,,,,
55,Found a creative way to complete something without enough resources.,Tell me about a time when you didn’t have enough resources to do something you felt was important but found a creative way to get it done anyway. What was the situation? What other options did you consider? How did you decide on a path forward? What was the outcome?,Frugality,,,,,
56,Made tradeoffs between quality and cost.,Tell me about a time when you had to make tradeoffs between quality and cost. How did you weigh the options? What was the result? Would you have done anything differently?,Frugality,,,,,
57,Generated a creative solution without requiring additional resources.,Tell me about a time when you generated a creative solution to a problem or project without requiring additional resources. What was the problem? What was the solution and how did you come up with it? What was the outcome?,Frugality,,,,,
58,Requested additional funding/budget to complete a project.,Give an example of a time you requested additional funding/budget to complete a project. Why was it needed? Did you try to figure out another approach? Did you get the additional resources? Why or why not?,Frugality,,,,,
59,Decided whether to award or ask for additional resources. (Manager),"Describe a time when you had to decide whether or not to award or ask for additional resources. What criteria do you use for making the call? What was the outcome? Knowing what you know now, would you have done anything differently? (Manager)",Frugality,,,,,
60,Challenged your team to create a more efficient solution or process. (Manager),Give an example of a time when you challenged your team to come up with a more efficient solution or process. What drove the request? How did you help? What were some of your biggest challenges? What were the end results? (Manager),Frugality,,,,,
61,Disagreed with your manager or peer on something important to the business.,"Tell me about a time when you strongly disagreed with your manager or peer on something you considered very important to the business. What was it and how did you handle it? Knowing what you know now, would you do anything differently?",Disagree & Commit,,,,,
62,Took an unpopular stance in a meeting with peers and your leader.,Describe a time when you took an unpopular stance in a meeting with peers and your leader. What was it? Why did you feel strongly about it? What did you do? What was the outcome?,Disagree & Commit,,,,,
63,Committed to a group decision despite disagreeing.,"Often, we must make decisions as a group. Give me an example of a time you committed to a group decision even though you disagreed. What factors led you to commit to the decision? Would you make the same decision now?",Disagree & Commit,,,,,
64,Felt strongly about something on a project but the team went in a different direction.,Describe a time when you felt really strongly about something on a project but the team decided to go in a different direction. How hard did you press the issue? How did you approach that project afterward?,Disagree & Commit,,,,,
65,Pushed back against a decision that negatively impacted your team.,Tell me about a time when you pushed back against a decision that negatively impacted your team. What was the issue? How did it turn out? Would you have done anything differently?,Disagree & Commit,,,,,
66,Submitted a great idea to your manager that was not supported.,Give me an example of when you submitted a great idea to your manager and they did not support it. What was the idea? How did you handle the lack of support?,Disagree & Commit,,,,,
67,Supported a business initiative you didn't agree with.,Describe a time when you had to support a business initiative that you didn't agree with. How did you handle it? How did you deliver the message to your team?,Disagree & Commit,,,,,
68,Business gained something because you persisted over time.,Tell me about a time when the business gained something because you persisted for a length of time. Why were you so determined? How did it turn out?,Disagree & Commit,,,,,
69,Inclusive and respectful of differing perspectives while supporting your position. (DEI),Give me an example of a time when you were inclusive and respectful of the perspectives of others although they had an opinion which was different than yours. How did you support your position? (DEI),Disagree & Commit,,,,,
70,Helped a team member develop their career.,Tell me about a time when you helped one of your team members develop their career. How did you help that team member? What was the result?,Hire and Develop the Best,,,,,
71,Invested in an employee's development and its outcome.,Tell me about a time when you invested in an employee's development. What did you invest in and why? What was the outcome? Can you share an example where investing in an employee's development didn't work out?,Hire and Develop the Best,,,,,
72,Provided feedback to develop the strengths of someone on your team.,Give me an example of a time you provided feedback to develop the strengths of someone on your team. Were you able to positively impact their performance?,Hire and Develop the Best,,,,,
73,Provided coaching for a team member and its outcome.,Tell me about a time when you provided coaching for a team member. What started the coaching? What was the outcome?,Hire and Develop the Best,,,,,
74,Hired someone who complemented your skills and coached them in your weak areas. (Manager),Tell me about someone you hired that you thought complemented your skills. How did you coach an individual in areas where you have a weakness? (Manager),Hire and Develop the Best,,,,,
75,Helped a remote team member develop their career. (Manager),Tell me about a time when you helped a remote team member develop their career. Can you give me an example of a specific team member and how you helped them develop across the geographic distance? (Manager),Hire and Develop the Best,,,,,
76,Facilitated the success of someone struggling to get promoted. (Manager),Describe a person who struggled to get promoted under your leadership and how you helped facilitate their success. (Manager),Hire and Develop the Best,,,,,
77,Conducted a challenging talent review and promotion process. (Manager),"Tell me about your most challenging talent review and promotion process that you conducted for your team. What made it challenging? What factors did you consider in your talent review? What factors did you consider in the promotion process? Did you incorporate a tool to counter unconscious bias? If yes, how? How do you manage perceptions of unfair treatment? What did you learn from this process? Knowing what you know now, would you have done anything different? (Manager)",Hire and Develop the Best,,,,,
78,"Constructed a team to accomplish a goal, considering diversity and balance. (Manager)","Describe a time when you constructed a team to accomplish a goal. What factors did you consider in constructing the team? Did you factor diversity into your team construction? How did you balance work requirements, team skill composition, and team stretch opportunities? What do you consider when you allocate work? How did you ensure team members were able to work effectively together? Would you have done anything differently? (Manager)",Hire and Develop the Best,,,,,
79,Had a low-performing individual on your team and delivered feedback. (Manager),Tell me about a time when you had a low performing individual on your team. How did you deliver feedback? Did their performance improve? (Manager),Hire and Develop the Best,,,,,
80,Considering DEI in building and growing teams?,"How have you considered diversity, equity and inclusion as you are building and growing teams? Who did you seek input from and why? (DEI) (Manager)",,,,,,
81,Refused to compromise standards around quality or customer service.,"Describe a time when you refused to compromise your standards around quality/customer service, and so on. Who was your customer? What was the result?",Insist on the Highest Standards,,,,,
